frame,timestamp_ms,tier,latency_ms,diff_score
0,1775442693816,TWO,7565.0,1.0000
1,1775442694937,ONE,1107.0,0.0248
2,1775442694980,ZERO,1.0,0.0139
3,1775442695322,ZERO,1.0,0.0150
4,1775442696827,ZERO,1.0,0.0147
5,1775442698383,ZERO,1.0,0.0166
6,1775442700339,ZERO,1.0,0.0165
7,1775442702396,ZERO,2.0,0.0164
8,1775442704653,ZERO,2.0,0.0158
9,1775442707001,ZERO,2.0,0.0160
10,1775442709477,ZERO,2.0,0.0147
11,1775442712032,ZERO,3.0,0.0171
12,1775442714704,ZERO,5.0,0.0184
13,1775442715011,ZERO,2.0,0.0189
14,1775442715407,ZERO,2.0,0.0196
15,1775442715826,ZERO,4.0,0.0194
16,1775442716376,ZERO,2.0,0.0168
17,1775442717036,ZERO,3.0,0.0177
18,1775442717973,ZERO,8.0,0.0172
19,1775442718970,ZERO,2.0,0.0175
20,1775442720145,ZERO,2.0,0.0186
21,1775442721475,ZERO,3.0,0.0197
22,1775442722846,ZERO,4.0,0.0175
23,1775442725364,ONE,963.0,0.0204
24,1775442725462,ZERO,2.0,0.0198
25,1775442728613,ONE,1633.0,0.0210
26,1775442730162,ONE,1538.0,0.0207
27,1775442731714,ONE,1538.0,0.0209
28,1775442731725,ZERO,1.0,0.0190
29,1775442732760,ZERO,2.0,0.0185
30,1775442735315,ZERO,1.0,0.0177
31,1775442738037,ZERO,1.0,0.0180
32,1775442738397,ZERO,3.0,0.0190
33,1775442738827,ZERO,3.0,0.0170
34,1775442739264,ZERO,3.0,0.0166
35,1775442739751,ZERO,4.0,0.0151
